sample,Date,altitude (m),component,Mg ,Al ,Si ,K ,Ca ,Ti ,Mn ,Fe ,Ni ,Zn ,Rb ,Sr ,Y ,Zr ,Nb ,Pb 
NIST 2711a,,,certified value,10700,67200,314000,25300,24200,3170,675,28200,21.7,414,,242,,,,1400
NIST 679,,,certified value,7552,110100,243400,24330,1628,5770,,90500,,,,73.4,,,,
SARM 69,,,certified value,11200,76200,311000,16300,16900,4660,999,50200,53,68,,,,,,
,,,,,,,,,,,,,,,,,,,
1,06/06/2023,2610,ave % error,41%,7%,15%,3%,12%,6%,4%,2%,45%,6%,,20%,,,,2%
2,07/06/2023,2610,ave % error,36%,7%,14%,4%,12%,6%,5%,2%,33%,7%,,17%,,,,4%
3,08/06/2023,2610,ave % error,41%,6%,14%,3%,13%,5%,3%,2%,29%,4%,,20%,,,,4%
4,09/06/2023,2610,ave % error,37%,7%,14%,4%,12%,8%,6%,2%,31%,4%,,20%,,,,4%
5,13/06/2023,1880,ave % error,42%,8%,13%,3%,10%,8%,2%,2%,19%,4%,,20%,,,,5%
6,14/06/2023,1880,ave % error,35%,7%,14%,3%,12%,6%,4%,2%,20%,4%,,21%,,,,4%
7,15/06/2023,1880,ave % error,37%,8%,13%,4%,11%,4%,3%,3%,24%,4%,,17%,,,,3%
8,16/06/2023,1880,ave % error,38%,7%,13%,3%,11%,5%,4%,2%,20%,6%,,19%,,,,4%
9,18/07/2023,1880,ave % error,9%,9%,16%,6%,11%,8%,6%,3%,6%,9%,,22%,,,,7%
10,28/07/2023,5,ave % error,21%,9%,13%,5%,10%,7%,4%,2%,5%,3%,,24%,,,,3%
11,31/07/2023,5,ave % error,20%,9%,14%,2%,10%,6%,9%,5%,3%,8%,,20%,,,,4%
12,01/08/2023,5,ave % error,17%,8%,13%,4%,8%,8%,2%,2%,6%,5%,,21%,,,,5%
13,02/08/2023,5,ave % error,21%,8%,12%,4%,7%,8%,5%,2%,17%,2%,,20%,,,,6%
14,03/08/2023,5,ave % error,21%,9%,11%,5%,5%,3%,5%,3%,33%,8%,,20%,,,,4%
15,22/08/2023,5,ave % error,23%,9%,12%,5%,5%,4%,4%,3%,6%,2%,,20%,,,,3%
16,14/05/2024,5,ave % error,31%,11%,15%,4%,11%,5%,6%,3%,11%,4%,,21%,,,,5%
,,,,,,,,,,,,,,,,,,,
,,,R,0.69,-0.75,0.47,-0.31,0.75,0.15,-0.19,-0.54,0.67,0.10,,-0.41,,,,-0.09
,,,R2,0.48,0.56,0.22,0.10,0.57,0.02,0.04,0.30,0.45,0.01,,0.17,,,,0.01
,,,slope,6.15E-05,-7.11E-06,,,1.59E-05,,,,7.22E-05,,,,,,,
,,,intercept,0.22,0.09,,,0.08,,,,0.10,,,,,,,
