date,notes,Standard,stat,Na2O,MgO,Al2O3,SiO2,CaO,TiO2,MnO2,FeO
,,,,%,%,%,%,%,%,%,%
,,BIR-1G,certified value,1.89,9.37,15.6,47.3,13.4,0.98,0.18,10.5
,,,,,,,,,,,
25/03/2024,measured immediately after Co,BIR-1G,average,1.7,9.53,15.55,47.79,13.58,0.99,0.21,10.69
27/03/2024,measured long after Co,BIR-1G,average,1.73,9.48,15.52,47.63,13.67,1.04,0.21,10.74
16/04/2024,morning,BIR-1G,average,1.75,9.52,15.6,47.68,13.55,1.01,0.24,10.69
16/04/2024,1:30pm,BIR-1G,average,1.76,9.48,15.59,47.7,13.57,1.04,0.19,10.7
16/04/2024,2:40 (after cobalt),BIR-1G,average,1.75,9.54,15.53,47.77,13.54,1,0.2,10.67
16/04/2024,4:30pm,BIR-1G,average,1.76,9.48,15.57,47.75,13.55,1.02,0.19,10.68
19/04/2024,Morning,BIR-1G,average,1.75,9.53,15.54,47.78,13.55,1.04,0.22,10.59
19/04/2024,4:00pm,BIR-1G,average,1.69,9.47,15.63,47.79,13.5,1.05,0.21,10.66
19/04/2024,4:40pm,BIR-1G,average,1.7,9.29,15.42,47.58,13.91,1.04,0.17,10.89
,,,,,,,,,,,
25/03/2024,measured immediately after Co,BIR-1G,% error,10%,2%,0%,1%,1%,1%,19%,2%
27/03/2024,measured long after Co,BIR-1G,% error,9%,1%,1%,1%,2%,6%,14%,2%
16/04/2024,morning,BIR-1G,% error,7%,2%,0%,1%,1%,3%,34%,2%
16/04/2024,1:30pm,BIR-1G,% error,7%,1%,0%,1%,1%,7%,4%,2%
16/04/2024,2:40 (after cobalt),BIR-1G,% error,7%,2%,0%,1%,1%,2%,13%,2%
16/04/2024,4:30pm,BIR-1G,% error,7%,1%,0%,1%,1%,4%,6%,2%
19/04/2024,Morning,BIR-1G,% error,7%,2%,0%,1%,1%,6%,21%,1%
19/04/2024,4:00pm,BIR-1G,% error,10%,1%,0%,1%,1%,7%,17%,2%
19/04/2024,4:40pm,BIR-1G,% error,10%,1%,1%,1%,4%,6%,6%,4%
