CA Number,Ware,Height (cm),Rim Radius (cm),Base Radius (cm),Net volume (L)
CA230334,Capulí,12.91,8.04,5,0.6
CA230335,Tuza ,10.14,8.29,3.77,1.0
CA230336,Piartal - 1,12.13,8.9,3.61,1.5
CA230337,Piartal - 1,9.67,9.11,3.86,1.2
CA230338,Piartal - 1,7.28,9.81,3.45,0.8
CA230339,Piartal - 2,10.36,9.07,3.95,1.1
CA230340,Capulí,11.43,7.77,4.45,0.7
CA230341,Tuza,9.98,8.85,3.12,1.2
CA230343,Tuza,9.95,9.36,3.17,1.1
CA230344,Tuza,9.62,8.99,3.13,1.0
CA230345,Tuza,9.41,8.7,3.52,1.0
CA230347,Piartal - 2,9.16,9.55,3.63,0.8
CA230348,Capulí,11.56,8.53,5.06,0.7
CA230349,Capulí,10.17,8.97,3.64,0.9
CA230350,Capulí,8.23,5.17,3.57,0.3
CA230352,Piartal - 1,9.89,8.44,3.46,0.9
CA230353,Tuza,9.59,9.32,3.38,1.1
CA230354,Tuza,9.59,8.2,3.42,0.8
CA230355,Capulí,15.11,9.24,5.62,1.6
CA230356,Piartal - 1,6.76,8.24,3.62,0.4
CA230357,Piartal - 2,7.48,7.62,2.33,0.5
CA230358,Capulí,11.93,6.9,4.69,0.5
CA230359,Capulí,14.84,10.4,5.6,1.0
CA230360,Piartal - 1,6.66,8.16,3.27,0.3
CA230361,Piartal - 1,8.22,9.12,3.84,0.6
CA230362,Piartal - 1,6.72,8.26,3.58,0.4
CA230363,Capulí,6.92,6.92,4.39,0.4
CA230364,Piartal - 1,6.28,7.32,3.15,0.3
CA230365,Capulí,11.92,7.29,4.32,0.7
CA230366,Capulí,10.69,7.21,4.5,0.5
CA230369,Piartal - 1,6.35,5.94,2.71,0.2
CA230370,Piartal - 1,6.09,6.51,2.97,0.3
CA230372,Capulí - no paint,9.75,6.42,4.93,0.4
CA230373,Capulí,9.9,7.16,4.03,0.3
CA230374,Capulí,10.38,6.72,4.32,0.3
CA230375,Capulí - no paint,8.66,5.22,4.55,0.2
CA230376,Capulí,9.89,6.85,4.53,0.3
CA230377,Capulí,11.62,7.56,4.74,0.6
CA230378,Capulí,12.88,7.69,4.73,0.7
CA230379,Capulí,10.3,6.41,4.02,0.3
CA230381,Capulí,12.56,8.8,5.33,0.9
CA230382,Capulí,15.63,8.62,5.61,1.3
CA230383,Capulí - no paint,10.33,7.37,5.08,0.4
CA230386,Capulí,11.72,7.28,4.32,0.6
CA230387,Capulí,9.47,6.75,4.52,0.3
CA230388,Capulí,10.76,7.43,4.44,0.5
CA230389,Capulí,10.62,7.81,4.63,0.8
CA230390,Capulí,11.36,7.93,5.48,0.6
CA230392,Capulí,12.73,7.74,4.41,0.8
CA230401,Tuza,10.85,9.16,4.15,1.2
CA230402,Tuza,9.19,7.75,2.96,0.9
CA230403,Piartal - 1,8.05,8.44,3.55,0.6
CA230404,Piartal - 2,8.05,8.18,2.94,0.6
CA230405,Capuli,9.48,6.4,5.12,0.4
CA230406,Tuza,9.85,9.69,3.79,1.3
CA230407,Tuza,10.32,8.85,3.27,1.1
CA230408,Tuza,8.73,7.46,3.15,0.7
CA230410,Tuza,9.96,8.51,3.45,1.0
CA230411,Tuza,9.59,8.43,3.19,1.0
CA230412,Tuza,9.66,8.89,3.05,0.9
CA230413,Tuza - Red slip,7.17,6.57,2.86,0.2
CA230416,Piartal - 1,7.58,7.28,2.7,0.4
CA230417,Piartal - 1,7.57,7.68,2.99,0.4
CA230422,Piartal - 1,8.74,9.09,3.35,0.6
CA230423,Piartal - 1,7.15,7.17,2.85,0.4
CA230424,Piartal - 1,6.97,7.28,3.11,0.4
CA230428,Tuza,9.1,8.95,3.42,0.9
CA230429,Tuza,9.4,8.71,3.11,0.9
CA230430,Tuza - Red slip,6.86,6.51,2.69,0.3
CA230431,Piartal - 1,7.15,7.62,2.63,0.4
CA230432,Piartal - 1,7.89,7.84,3.31,0.4
CA230434,Piartal - 1,8.81,9.03,3.45,0.7
CA230714,Piartal - 2,9.98,9.14,3.71,1.1
CA230715,Tuza,9.89,8.73,3.65,0.9
CA230716,Piartal - 1,7.79,7.17,2.7,0.4
CA230717,Piartal - 1,5.6,6.66,3.09,0.2
CA230718,Tuza,9.57,8.86,3.35,0.9
CA230719,Tuza,9.83,9.47,3.68,1.1
CA230720,Tuza,9.6,8.58,3.53,1.0
CA230721,Tuza,9.26,8.82,3.33,0.9
CA230722,Piartal - 2,11.54,9.8,3.57,1.4
CA230723,Piartal - 2,7.8,8.81,3.01,0.6
CA230724,Tuza,10.29,9.48,3.72,1.1
CA230725,Piartal - 2,12.07,8.59,4.19,1.3
CA230726,Piartal - 2,10.04,9.55,3.09,1.2
,,,,,
,,,,,
,,,,,
,,,,,
